placementID,locationID,location,camname,date_placed,date_removed,latitude,longitude,habitat,altitude,on/off trail,notes
399,157,AT 7.21,kkl028,10/19/2018,11/19/2018,-1.22359,110.11033,Lowland Sandstone,95,ON,
206,158,AT 11.33,kkl028,1/30/2016,10/5/2016,-1.22547,110.11023,Lowland Sandstone,85,ON,
143,159,UB 22.30,kkl018,2/22/2016,5/12/2016,-1.226,110.11576,Lowland Granite,276,ON,
400,159,UB 22.30,kkl022,10/14/2018,11/26/2018,-1.226,110.11576,Lowland Granite,276,ON,
426,159,UB 22.30,kkl026,12/22/2018,1/29/2019,-1.226,110.11576,Lowland Granite,276,ON,
144,160,DG 2.15,kkl019,8/15/2015,1/31/2016,-1.21263,110.10065,Freshwater Swamp,43,ON,
145,161,GB 8.30,kkl019,1/31/2016,10/7/2016,-1.21013,110.10319,Freshwater Swamp,33,ON,
146,162,BD 7.45,kkl020,8/15/2015,11/18/2015,-1.20966,110.09449,Peat Swamp,44,ON,
387,162,BD 7.45,kkl063,10/14/2018,11/23/2018,-1.20966,110.09449,Peat Swamp,44,ON,
147,163,SI 15.10,kkl021,8/16/2015,2/20/2016,-1.22791,110.11164,Lowland Sandstone,146,ON,
147,163,SI 15.10,kkl021,12/26/2017,5/11/2018,-1.22791,110.11164,Lowland Sandstone,146,ON,
148,164,DP 8,kkl021,2/20/2016,10/11/2016,-1.23304,110.10912,Lowland Sandstone,193,ON,
148,164,DP 8,kkl021,5/19/2018,6/4/2018,-1.23304,110.10912,Lowland Sandstone,193,ON,
149,165,UB 46.02,kkl022,8/18/2015,2/9/2016,-1.22957,110.12312,Upland Granite,535,ON,
357,165,UB 46.02,kkl078,4/30/2018,6/13/2018,-1.22957,110.12312,Upland Granite,535,ON,
150,166,NB 10.20,kkl022,2/9/2016,10/10/2016,-1.2265,110.1208,Upland Granite,407,ON,
415,166,NB 10.20,OFP084,12/27/2018,9/18/2019,-1.2265,110.1208,Upland Granite,407,ON,
151,167,UB 58.25,kkl023,8/18/2015,2/9/2016,-1.2287,110.12817,Upland Granite,665,ON,
152,168,UB 63.18,kkl023,2/9/2016,7/31/2016,-1.22912,110.13028,Upland Granite,715,ON,
209,168,UB 63.18,kkl038,7/31/2016,10/10/2016,-1.22912,110.13028,Upland Granite,715,ON,
153,169,ST 18,kkl024,8/12/2015,11/3/2015,-1.22182,110.10114,Alluvial Bench,42,ON,
154,170,UB 75.35,kkl025,8/18/2015,2/9/2016,-1.22993,110.13567,Montane,902,ON,
168,170,UB 75.35,kkl031,2/24/2016,10/10/2016,-1.22993,110.13567,Montane,902,ON,
370,170,UB 75.35,kkl034,8/5/2018,11/11/2018,-1.22993,110.13567,Montane,902,ON,
424,170,UB 75.35,kkl031,3/11/2019,4/28/2019,-1.22993,110.13567,Montane,902,ON,
155,171,UB 80.03,kkl025,2/9/2016,4/17/2016,-1.23109,110.13722,Montane,950,ON,
221,171,UB 80.03,kkl034,4/17/2016,10/10/2016,-1.23109,110.13722,Montane,950,ON,
156,172,UB 85.30,kkl026,8/18/2015,2/9/2016,-1.23188,110.13854,Montane,1011,ON,
315,172,UB 85.30,kkl031,12/24/2017,4/19/2018,-1.23188,110.13854,Montane,1011,ON,
388,172,UB 85.30,kkl064,10/9/2018,11/18/2018,-1.23188,110.13854,Montane,1011,ON,
157,173,JJ 2.30,kkl026,2/9/2016,10/10/2016,-1.23046,110.13847,Montane,942,ON,
316,173,JJ 2.30,kkl064,12/24/2017,3/24/2018,-1.23046,110.13847,Montane,942,ON,
158,174,DA 12.40,kkl027,8/12/2015,1/30/2016,-1.22856,110.10848,Lowland Sandstone,63,ON,
365,174,DA 12.40,kkl005,5/2/2018,9/15/2018,-1.22856,110.10848,Lowland Sandstone,63,ON,
159,175,BK 4.35,kkl027,1/30/2016,10/5/2016,-1.22942,110.10719,Lowland Sandstone,71,ON,
414,175,BK 4.35,OFP085,2/2/2019,3/25/2019,-1.22942,110.10719,Lowland Sandstone,71,ON,
160,176,ST 18 E 20,kkl028,8/12/2015,11/3/2015,-1.22182,110.10114,Alluvial Bench,42,OFF,
161,177,BK 12.45,kkl029,8/12/2015,1/30/2016,-1.22907,110.10375,Kerangas,42,ON,
323,177,BK 12.45,kkl067,12/24/2017,5/2/2018,-1.22907,110.10375,Kerangas,42,ON,
422,177,BK 12.45,kkl077,2/2/2019,9/22/2019,-1.22907,110.10375,Kerangas,42,ON,
162,178,BK 10.30,kkl029,1/30/2016,10/5/2016,-1.22909,110.10467,Kerangas,57,ON,
362,178,BK 10.30,kkl077,5/2/2018,7/14/2018,-1.22909,110.10467,Kerangas,57,ON,
163,179,RS 22.3,kkl030,8/12/2015,1/12/2016,-1.22369,110.09772,Freshwater Swamp,25,ON,
164,179,RS 22.3,kkl036,1/12/2016,2/5/2016,-1.22369,110.09772,Freshwater Swamp,25,ON,
165,180,PB 12.35,kkl030,2/24/2016,6/14/2016,-1.21284,110.11249,Lowland Sandstone,93,ON,
208,180,PB 12.35,kkl037,6/14/2016,10/7/2016,-1.21284,110.11249,Lowland Sandstone,93,ON,
166,181,RS 29.15,kkl036,2/5/2016,10/8/2016,-1.22639,110.09879,Freshwater Swamp,34,ON,
390,181,RS 29.15,kkl070,9/29/2018,10/6/2018,-1.22639,110.09879,Freshwater Swamp,34,ON,
169,182,IF 46.05,kkl032,3/8/2016,4/12/2016,-1.21021,110.0858,Peat Swamp,41,ON,
207,182,IF 46.05,kkl033,4/12/2016,10/25/2016,-1.21021,110.0858,Peat Swamp,41,ON,
443,182,IF 46.05,kkl063,3/14/2019,8/29/2019,-1.21021,110.0858,Peat Swamp,41,ON,
213,183,MT 2.10,kkl012,1/31/2016,1/31/2016,-1.21021,110.0858,Peat Swamp,46,ON,
215,184,DT 1.42,kkl005,10/4/2016,5/18/2017,-1.22505,110.10629,Alluvial Bench,40,ON,
436,184,DT 1.42,OFP088,1/31/2019,3/31/2019,-1.22505,110.10629,Alluvial Bench,40,ON,
214,185,DA 2,kkl039,10/4/2016,5/18/2017,-1.22727,110.10414,Kerangas,63,ON,
216,186,SP 34.40,kkl029,10/5/2016,5/18/2017,-1.2294,110.10316,Kerangas,44,ON,
389,186,SP 34.40,kkl067,9/27/2018,1/31/2019,-1.2294,110.10316,Kerangas,44,ON,
217,187,DL 0.35,kkl027,10/5/2016,1/4/2017,-1.23053,110.1068,Lowland Sandstone,48,ON,
250,187,DL 0.35,kkl014,1/4/2017,5/18/2017,-1.23053,110.1068,Lowland Sandstone,48,ON,
404,187,DL 0.35,kkl005,9/27/2018,2/2/2019,-1.23053,110.1068,Lowland Sandstone,48,ON,
218,188,AT 3,kkl028,10/5/2016,5/28/2017,-1.22211,110.1093,Lowland Sandstone,113,ON,
219,189,FK 1.45,kkl043,10/5/2016,5/27/2017,-1.21474,110.10391,Alluvial Bench,62,ON,
222,190,RB 0,kkl004,10/7/2016,6/9/2017,-1.21354,110.10599,Freshwater Swamp,58,ON,
380,190,RB 0,kkl062,6/1/2018,7/16/2018,-1.21354,110.10599,Freshwater Swamp,58,ON,
223,191,DS 4.40,kkl019,10/7/2016,4/3/2017,-1.20721,110.10515,Freshwater Swamp,40,ON,
251,191,DS 4.40,kkl046,4/3/2017,5/16/2017,-1.20721,110.10515,Freshwater Swamp,40,ON,
369,191,DS 4.40,kkl023,5/3/2018,10/9/2018,-1.20721,110.10515,Freshwater Swamp,40,ON,
224,192,BM 8.21,kkl035,10/7/2016,5/16/2017,-1.21025,110.10792,Alluvial Bench,48,ON,
345,192,BM 8.21,kkl074,12/25/2017,3/21/2018,-1.21025,110.10792,Alluvial Bench,48,ON,
225,193,CK 4.42,kkl037,10/7/2016,5/27/2017,-1.21281,110.10916,Lowland Sandstone,54,ON,
367,193,CK 4.42,kkl016,5/22/2018,6/19/2018,-1.21281,110.10916,Lowland Sandstone,54,ON,
226,194,BC 12.40,kkl002,10/7/2016,5/24/2017,-1.21856,110.1099,Lowland Sandstone,99,ON,
394,194,BC 12.40,kkl052,12/27/2018,3/24/2019,-1.21856,110.1099,Lowland Sandstone,99,ON,
227,195,ST 32.20,kkl006,10/8/2016,1/27/2017,-1.22839,110.09978,Freshwater Swamp,20,ON,
249,195,ST 32.20,kkl009,1/7/2017,5/26/2017,-1.22839,110.09978,Freshwater Swamp,20,ON,
228,196,RS 38.38,kkl036,10/8/2016,5/17/2017,-1.22937,110.09727,Freshwater Swamp,62,ON,
324,196,RS 38.38,kkl070,12/24/2017,7/18/2018,-1.22937,110.09727,Freshwater Swamp,62,ON,
229,197,NB 15.20,kkl022,10/10/2016,5/28/2017,-1.22669,110.12268,Upland Granite,465,ON,
327,197,NB 15.20,kkl037,12/23/2017,4/4/2018,-1.22669,110.12268,Upland Granite,465,ON,
230,198,JJ 4.40,kkl031,10/10/2016,5/25/2017,-1.23008,110.13797,Montane,909,ON,
396,198,JJ 4.40,kkl034,10/9/2018,10/17/2018,-1.23008,110.13797,Montane,909,ON,
232,199,UB 38,kkl038,10/10/2016,10/27/2016,-1.22895,110.11899,Upland Granite,438,ON,
244,199,UB 38,kkl038,10/27/2016,6/3/2017,-1.22895,110.11899,Upland Granite,438,ON,
397,199,UB 38,kkl038,10/11/2018,2/17/2019,-1.22895,110.11899,Upland Granite,438,ON,
233,200,UB 24.30,kkl026,10/10/2016,5/20/2017,-1.22688,110.11605,Lowland Granite,307,ON,
234,201,HB 10,kkl024,10/11/2016,6/8/2017,-1.23045,110.11352,Lowland Granite,316,ON,
235,202,DP 4.30,kkl021,10/11/2016,5/19/2017,-1.232,110.10819,Lowland Sandstone,118,ON,
236,203,FS 11.44,kkl007,10/19/2016,5/19/2017,-1.21488,110.12775,Upland Granite,501,ON,
237,204,ML 12.25,kkl015,10/20/2016,5/19/2017,-1.21508,110.11685,Lowland Granite,247,ON,
238,205,TZ 12.30,kkl033,10/25/2016,5/22/2017,-1.20591,110.09202,Peat Swamp,28,ON,
381,205,TZ 12.30,kkl063,5/11/2018,7/12/2018,-1.20591,110.09202,Peat Swamp,28,ON,
239,206,KP 21.30,kkl011,10/25/2016,6/4/2017,-1.20648,110.09936,Peat Swamp,30,ON,
240,207,GP 41.30,kkl016,10/25/2016,5/20/2017,-1.21183,110.1166,Lowland Granite,267,ON,
241,208,GP 83.10,kkl040,11/9/2016,11/24/2016,-1.20949,110.1329,Montane,854,ON,
246,208,GP 83.10,kkl040,10/26/2016,11/9/2016,-1.20949,110.1329,Montane,854,ON,
248,208,GP 83.10,kkl040,11/24/2016,5/25/2017,-1.20949,110.1329,Montane,854,ON,
242,209,GP 100.40,kkl042,10/26/2016,11/9/2016,-1.21057,110.13915,Montane,1016,ON,
245,209,GP 100.40,kkl042,11/9/2016,11/24/2016,-1.21057,110.13915,Montane,1016,ON,
247,209,GP 100.40,kkl042,11/24/2016,5/25/2017,-1.21057,110.13915,Montane,1016,ON,
432,209,GP 100.40,kkl076,12/25/2018,3/11/2019,-1.21057,110.13915,Montane,1016,ON,
243,210,GP 56.25,kkl008,10/26/2016,5/16/2017,-1.21087,110.12183,Upland Granite,383,ON,
243,210,GP 56.25,kkl008,12/26/2017,5/1/2018,-1.21087,110.12183,Upland Granite,383,ON,
231,211,UB 77.15,kkl034,10/10/2016,5/25/2017,-1.23033,110.13632,Montane,935,ON,
252,212,BM 10.40,kkl046,5/16/2017,9/1/2017,-1.2094,110.10841,Alluvial Bench,27,ON,
306,212,BM 10.40,kkl074,10/17/2017,12/25/2017,-1.2094,110.10841,Alluvial Bench,27,ON,
253,213,RS 32.30,kkl036,5/17/2017,6/3/2017,-1.22702,110.09763,Freshwater Swamp,40,ON,
279,213,RS 32.30,kkl027,7/27/2017,11/13/2017,-1.22702,110.09763,Freshwater Swamp,40,ON,
254,214,TR 9,kkl035,5/17/2017,9/22/2017,-1.21819,110.09994,Freshwater Swamp,29,ON,
255,215,BS 0.15,kkl005,5/18/2017,5/2/2018,-1.23198,110.10516,Alluvial Bench,43,ON,
256,216,CH 14.05,kkl014,5/18/2017,8/15/2017,-1.22922,110.10459,Kerangas,36,ON,
281,216,CH 14.05,kkl023,8/28/2017,12/31/2017,-1.22922,110.10459,Kerangas,36,ON,
348,216,CH 14.05,kkl077,1/29/2018,5/2/2018,-1.22922,110.10459,Kerangas,36,ON,
411,216,CH 14.05,kkl077,12/18/2018,4/29/2019,-1.22922,110.10459,Kerangas,36,ON,
257,217,CH 11.05,kkl039,5/18/2017,8/28/2017,-1.22796,110.10457,Kerangas,28,ON,
308,217,CH 11.05,kkl044,10/5/2017,11/4/2017,-1.22796,110.10457,Kerangas,28,ON,
258,218,SP 24,kkl029,5/18/2017,8/14/2017,-1.22446,110.10305,Alluvial Bench,18,ON,
301,218,SP 24,kkl069,9/16/2017,11/18/2017,-1.22446,110.10305,Alluvial Bench,18,ON,
393,218,SP 24,kkl050,9/27/2018,11/7/2018,-1.22446,110.10305,Alluvial Bench,18,ON,
259,219,TK 22.25,kkl008,5/16/2017,11/14/2017,-1.21211,110.12435,Upland Granite,461,ON,
403,219,TK 22.25,kkl008,10/16/2018,2/20/2019,-1.21211,110.12435,Upland Granite,461,ON,
423,219,TK 22.25,kkl007,3/7/2019,-,-1.21211,110.12435,Upland Granite,461,ON,
260,220,GP 86.08,kkl040,5/16/2017,1/17/2018,-1.20972,110.13365,Montane,892,ON,
261,221,FS 20,kkl007,5/19/2017,1/8/2018,-1.21528,110.13099,Upland Granite,713,ON,
405,221,FS 20,kkl007,12/20/2018,2/27/2019,-1.21528,110.13099,Upland Granite,713,ON,
262,222,GP 24.31,kkl015,5/19/2017,5/31/2018,-1.218151,110.114208,Lowland Granite,186,ON,
263,223,UB 13.40,kkl026,5/20/2017,4/30/2018,-1.22255,110.11338,Lowland Granite,185,ON,
264,224,SI 21.08,kkl021,5/19/2017,4/30/2018,-1.23021,110.1106,Lowland Sandstone,126,ON,
401,224,SI 21.08,kkl021,10/11/2018,3/14/2019,-1.23021,110.1106,Lowland Sandstone,126,ON,
265,225,TL 26.10,kkl016,5/20/2017,12/29/2017,-1.20605,110.11582,Lowland Granite,154,ON,
412,225,TL 26.10,kkl080,12/21/2018,1/16/2019,-1.20605,110.11582,Lowland Granite,154,ON,
266,226,IF 32.03,kkl033,5/22/2017,9/26/2017,-1.21004,110.09153,Peat Swamp,27,ON,
309,226,IF 32.03,kkl063,9/26/2017,5/11/2018,-1.21004,110.09153,Peat Swamp,27,ON,
267,227,GP 12.24,kkl019,7/7/2017,5/30/2018,-1.2198,110.10908,Lowland Sandstone,68,ON,
268,228,GP 106.40,kkl042,5/25/2017,6/4/2017,-1.21232,110.14107,Montane,1004,ON,
317,228,GP 106.40,kkl076,11/6/2017,1/9/2018,-1.21232,110.14107,Montane,1004,ON,
269,229,UB 72.05,kkl034,5/25/2017,11/6/2017,-1.22965,110.13408,Upland Granite,851,ON,
270,230,UB 91.20,kkl031,5/25/2017,12/24/2017,-1.23236,110.1416,Montane,1050,ON,
425,230,UB 91.20,kkl021,3/18/2019,7/23/2019,-1.23236,110.1416,Montane,1050,ON,
271,231,BS 8.44,kkl009,5/26/2017,7/15/2017,-1.23191,110.10147,Freshwater Swamp,44,ON,
302,231,BS 8.44,kkl070,9/16/2017,12/24/2017,-1.23191,110.10147,Freshwater Swamp,44,ON,
272,232,RB 4.40,kkl043,5/27/2017,8/23/2017,-1.21353,110.10411,Alluvial Bench,28,ON,
305,232,RB 4.40,kkl075,10/17/2017,12/25/2017,-1.21353,110.10411,Alluvial Bench,28,ON,
378,232,RB 4.40,kkl060,6/1/2018,7/16/2018,-1.21353,110.10411,Alluvial Bench,28,ON,
273,233,AT 16.15,kkl028,5/28/2017,5/2/2018,-1.2273,110.10926,Lowland Sandstone,68,ON,
274,234,TZ 3.35,kkl011,6/4/2017,7/24/2017,-1.20626,110.09629,Peat Swamp,6,ON,
307,234,TZ 3.35,kkl029,8/26/2017,11/25/2017,-1.20626,110.09629,Peat Swamp,6,ON,
439,234,TZ 3.35,kkl029,4/10/2019,7/31/2019,-1.20626,110.09629,Peat Swamp,6,ON,
275,235,HB 5.05,kkl024,6/8/2017,11/28/2017,-1.23191,110.11232,Lowland Granite,283,ON,
276,236,RS 5.10,kkl045,6/10/2017,11/9/2017,-1.21605,110.0973,Freshwater Swamp,15,ON,
277,237,UB 50.03,kkl038,6/12/2017,1/17/2018,-1.22854,110.12444,Upland Granite,578,ON,
427,237,UB 50.03,kkl038,2/18/2019,6/11/2019,-1.22854,110.12444,Upland Granite,578,ON,
278,238,MS 16.40,kkl022,6/12/2017,9/30/2017,-1.23092,110.13931,Montane,595,ON,
280,243,AY 3,kkl037,6/27/2017,11/5/2017,-1.216796,110.112441,Lowland Sandstone,160,ON,
445,243,AY 3,kkl075,3/25/2019,8/24/2019,-1.216796,110.112441,Lowland Sandstone,160,ON,
287,244,LD 10 E 75,kkl047,8/18/2017,3/3/2018,S 01.27742°,E 110.10647°,Logged Alluvial Bench,31,OFF,
286,245,RK 7.30 W 52,kkl048,8/17/2017,1/7/2018,-1.266157,110.11059,Logged Alluvial Bench,34,OFF,
285,246,LD 9.42,kkl049,8/18/2017,1/14/2018,S 01.27737°,E 110.10583°,Logged Alluvial Bench,32,ON,
433,246,LD 9.42,kkl079,2/24/2019,9/11/2019,S 01.27737°,E 110.10583°,Logged Alluvial Bench,32,ON,
284,247,SP 24 W 44,kkl050,1800-01-01,11/13/2017,-1.22447,110.102659,Alluvial Bench,18,OFF,
283,248,AT 16.15 W 46,kkl051,8/18/2017,11/18/2017,-1.22709,110.108903,Lowland Sandstone,59,OFF,
282,249,UB 0.43 E 44,kkl052,9/18/2017,6/2/2018,-1.220021,110.109601,Lowland Sandstone,82,OFF,
289,250,BM 0.30 W 20,kkl053,8/19/2017,11/16/2017,-1.213016,110.106294,Freshwater Swamp,30,OFF,
290,251,DT 5.05,kkl055,8/19/2017,11/19/2017,-1.226361,110.105594,Alluvial Bench,48,ON,
295,252,GP 86.08 S 56,kkl056,9/25/2017,11/12/2017,-1.210249,110.133626,Montane,882,OFF,
294,253,BS 8.45 S 55,kkl057,9/15/2017,11/12/2017,-1.232417,110.10147,Freshwater Swamp,46,OFF,
293,254,UB 14 E 60,kkl058,8/20/2017,11/19/2017,-1.222567,110.113954,Lowland Granite,193,OFF,
288,255,IF 32.24 S 42,kkl061,8/19/2017,2/23/2018,-1.210419,110.091318,Peat Swamp,27,OFF,
292,263,GP 24 S 48,kkl059,8/21/2017,11/21/2017,-1.218751,110.113947,Lowland Granite,165,ON,
291,264,TR 9 N 52,kkl060,8/22/2017,11/19/2017,-1.217715,110.099927,Freshwater Swamp,29,OFF,
296,268,UB 50.03 S 52,kkl062,9/9/2017,1/17/2018,-1.229008,110.124474,Upland Granite,554,OFF,
297,269,UB 91.20 S 40,kkl064,9/9/2017,12/24/2017,-1.23272,110.141607,Montane,1042,OFF,
298,270,BM 10.40 E 40,kkl065,9/11/2017,11/16/2017,-1.209358,110.108778,Alluvial Bench,39,OFF,
299,271,CH 11.10 E 52,kkl067,9/10/2017,11/13/2017,-1.227944,110.105025,Kerangas,47,OFF,
300,272,BR 12 N 50,kkl068,9/12/2017,1/8/2018,-1.236125,110.098313,Freshwater Swamp,30,OFF,
304,274,TK 22 S 52,kkl071,9/17/2017,12/26/2017,-1.212569,110.124359,Upland Granite,441,OFF,
391,274,TK 22 S 52,kkl071,10/17/2018,11/25/2018,-1.212569,110.124359,Upland Granite,441,OFF,
313,275,AB 7.25 NW 44,kkl001,10/1/2017,10/3/2017,-1.206324,110.140971,Montane,852,OFF,
314,276,PK 2 N 58,kkl011,10/1/2017,10/26/2017,-1.21031,110.140671,Montane,969,OFF,
311,277,AB 7.25,kkl072,10/1/2017,12/18/2017,-1.206595,110.141271,Montane,862,ON,
312,278,PK 2,kkl073,10/1/2017,1/25/2018,-1.210832,110.140664,Montane,996,ON,
